,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,flood,avgjune,sub
10,Haryana Delhi & Chandigarh,1911,66.5,1.3,53.3,0.7,0.1,53.1,26.3,49.3,208.7,10.7,39.7,0.0,509.7,67.8,54.1,337.4,50.4,0,17.7,53.0
11,Haryana Delhi & Chandigarh,1912,43.4,12.5,9.0,9.2,2.8,26.5,161.1,134.2,119.5,0.0,10.5,0.5,529.3,55.9,21.0,441.4,11.0,0,8.833333333333334,23.7
12,Haryana Delhi & Chandigarh,1913,1.1,42.9,22.4,1.9,69.7,111.8,142.9,82.3,22.6,0.7,0.9,9.3,508.4,43.9,94.0,359.6,10.9,0,37.266666666666666,42.099999999999994
13,Haryana Delhi & Chandigarh,1914,2.3,7.0,4.7,22.7,21.0,51.1,252.0,100.0,182.9,18.7,2.0,0.3,664.7,9.3,48.4,586.0,21.0,0,17.033333333333335,30.1
14,Haryana Delhi & Chandigarh,1915,30.7,49.1,40.9,7.1,8.0,39.9,66.9,69.9,101.7,6.4,0.0,1.8,422.4,79.9,55.9,278.4,8.2,0,13.299999999999999,31.9
15,Haryana Delhi & Chandigarh,1916,0.5,15.7,0.2,2.3,12.5,71.2,139.7,217.7,107.8,61.6,0.0,0.0,629.1,16.2,14.9,536.4,61.6,0,23.733333333333334,58.7
16,Haryana Delhi & Chandigarh,1917,6.1,7.4,3.2,34.5,25.8,64.6,164.3,210.9,361.5,101.0,0.0,7.5,986.7,13.5,63.5,801.2,108.5,0,21.53333333333333,38.8
17,Haryana Delhi & Chandigarh,1918,10.0,0.0,11.1,9.9,1.1,34.3,20.0,142.1,5.0,0.3,0.8,0.0,234.7,10.1,22.2,201.4,1.1,0,11.433333333333332,33.199999999999996
18,Haryana Delhi & Chandigarh,1919,61.0,2.7,8.4,2.3,14.8,7.0,208.7,172.1,50.6,0.0,3.4,22.8,553.7,63.8,25.4,438.3,26.2,0,2.3333333333333335,7.800000000000001
19,Haryana Delhi & Chandigarh,1920,11.2,12.9,13.2,0.2,21.6,73.0,194.8,30.8,9.6,1.4,0.0,0.1,368.8,24.1,35.1,308.1,1.5,0,24.333333333333332,51.4
20,Haryana Delhi & Chandigarh,1921,21.3,1.2,0.5,1.4,0.0,13.7,100.2,189.5,86.1,29.5,0.0,3.0,446.5,22.5,2.0,389.5,32.5,0,4.566666666666666,13.7
21,Haryana Delhi & Chandigarh,1922,14.3,4.5,0.6,0.6,1.4,86.7,139.6,99.7,176.5,1.7,0.0,27.1,552.9,18.8,2.7,502.6,28.7,0,28.900000000000002,85.3
22,Haryana Delhi & Chandigarh,1923,17.0,52.7,0.8,0.1,19.7,24.8,183.7,221.3,17.6,9.1,0.3,34.4,581.5,69.7,20.6,447.4,43.8,0,8.266666666666667,5.100000000000001
23,Haryana Delhi & Chandigarh,1924,48.5,18.9,2.0,1.3,5.5,18.5,98.3,151.3,247.5,45.5,2.5,15.0,654.8,67.4,8.8,515.6,63.0,0,6.166666666666667,13.0
24,Haryana Delhi & Chandigarh,1925,4.8,0.1,0.1,3.1,11.2,153.8,247.0,108.6,10.2,5.7,12.2,0.3,557.2,5.0,14.4,519.6,18.2,0,51.26666666666667,142.60000000000002
25,Haryana Delhi & Chandigarh,1926,9.4,9.3,39.2,10.3,33.4,18.4,190.0,257.4,45.5,0.6,2.4,0.1,615.9,18.7,82.8,511.3,3.0,0,6.133333333333333,15.0
26,Haryana Delhi & Chandigarh,1927,0.2,34.1,14.8,7.4,13.9,12.2,160.9,163.9,42.7,18.1,1.7,32.5,502.5,34.3,36.1,379.7,52.4,0,4.066666666666666,1.700000000000001
27,Haryana Delhi & Chandigarh,1928,21.5,28.3,3.4,5.9,3.7,36.5,131.0,77.6,35.6,7.6,20.3,16.8,388.2,49.8,13.0,280.7,44.6,0,12.166666666666666,32.8
28,Haryana Delhi & Chandigarh,1929,15.2,0.1,0.0,9.5,3.7,18.7,135.2,82.8,11.4,3.8,0.0,26.2,306.6,15.4,13.2,248.1,30.0,0,6.233333333333333,15.0
29,Haryana Delhi & Chandigarh,1930,28.4,11.4,4.0,1.8,3.4,68.6,266.5,78.4,32.3,2.8,0.9,2.1,500.5,39.8,9.2,445.9,5.7,0,22.866666666666664,65.19999999999999
30,Haryana Delhi & Chandigarh,1931,0.4,17.0,14.2,0.3,7.8,11.1,198.7,122.5,109.5,37.4,0.0,0.1,519.2,17.5,22.4,441.9,37.5,0,3.6999999999999997,3.3
31,Haryana Delhi & Chandigarh,1932,3.0,2.0,26.2,4.8,6.1,14.3,136.8,113.4,117.5,0.0,0.0,15.8,440.1,5.1,37.1,382.1,15.8,0,4.766666666666667,8.200000000000001
32,Haryana Delhi & Chandigarh,1933,1.1,19.5,10.8,6.7,43.2,105.1,131.4,227.3,293.1,17.0,0.4,1.3,856.9,20.6,60.7,756.8,18.7,0,35.03333333333333,61.89999999999999
33,Haryana Delhi & Chandigarh,1934,21.6,1.0,47.6,0.7,2.0,64.6,140.8,199.1,18.3,0.0,0.0,5.6,501.4,22.6,50.4,422.8,5.6,0,21.53333333333333,62.599999999999994
34,Haryana Delhi & Chandigarh,1935,35.1,25.1,7.1,29.2,0.7,5.3,208.9,132.3,97.0,7.5,6.0,14.2,568.3,60.2,37.0,443.5,27.7,0,1.7666666666666666,4.6
35,Haryana Delhi & Chandigarh,1936,1.6,18.2,6.8,0.7,3.3,141.3,124.4,125.7,61.3,0.1,1.2,26.5,511.1,19.8,10.8,452.7,27.7,0,47.1,138.0
36,Haryana Delhi & Chandigarh,1937,0.8,75.8,5.3,20.3,5.2,43.7,171.6,39.3,109.8,0.4,0.3,9.1,481.7,76.7,30.8,364.4,9.8,0,14.566666666666668,38.5
37,Haryana Delhi & Chandigarh,1938,38.2,7.7,0.4,1.1,7.4,61.7,89.7,56.9,8.1,7.6,0.1,0.0,278.8,45.9,8.9,216.3,7.7,0,20.566666666666666,54.300000000000004
38,Haryana Delhi & Chandigarh,1939,1.9,38.5,20.2,0.5,0.3,88.8,62.7,32.9,63.3,1.2,0.0,0.0,310.2,40.5,20.9,247.6,1.2,0,29.599999999999998,88.5
39,Haryana Delhi & Chandigarh,1940,28.2,35.6,11.9,6.7,1.7,38.7,117.4,142.3,12.6,0.2,0.0,0.4,395.7,63.8,20.3,311.1,0.5,0,12.9,37.0
40,Haryana Delhi & Chandigarh,1941,59.2,5.1,2.2,0.0,16.2,96.3,41.0,90.1,46.4,3.9,0.0,3.5,363.9,64.3,18.4,273.8,7.4,0,32.1,80.1
41,Haryana Delhi & Chandigarh,1942,24.9,48.6,2.2,11.7,7.3,48.2,257.5,237.6,154.2,0.3,0.0,11.9,804.5,73.6,21.2,697.6,12.2,0,16.066666666666666,40.900000000000006
42,Haryana Delhi & Chandigarh,1943,19.6,2.1,2.4,14.7,8.5,28.8,129.6,112.4,89.7,0.0,0.0,0.1,407.9,21.7,25.6,360.4,0.1,0,9.6,20.3
