,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,flood,avgjune,sub
86,Chhattisgarh,1987,9.2,9.3,7.9,2.4,22.1,81.0,409.9,264.8,214.0,82.5,37.5,2.2,1142.8,18.5,32.4,969.7,122.2,0,27.0,58.9
87,Chhattisgarh,1988,0.7,25.1,6.2,22.7,8.8,219.7,375.0,351.1,167.8,28.7,0.4,0.1,1206.3,25.8,37.7,1113.6,29.2,0,73.23333333333333,210.89999999999998
88,Chhattisgarh,1989,0.1,0.0,10.5,1.0,8.9,226.8,372.1,353.7,173.9,10.4,5.2,24.6,1187.2,0.1,20.4,1126.5,40.2,0,75.60000000000001,217.9
89,Chhattisgarh,1990,0.5,18.5,9.2,7.4,122.3,293.6,393.9,375.9,268.2,143.6,9.4,1.4,1643.8,19.0,138.9,1331.5,154.4,0,97.86666666666667,171.3
90,Chhattisgarh,1991,10.6,1.6,9.2,3.7,4.7,143.8,446.2,411.2,135.1,37.9,9.3,7.6,1220.8,12.2,17.5,1136.2,54.9,0,47.93333333333334,139.10000000000002
91,Chhattisgarh,1992,0.1,0.3,0.5,1.9,5.4,137.1,401.3,419.1,180.0,7.9,3.0,0.0,1156.6,0.4,7.8,1137.5,10.9,0,45.699999999999996,131.7
92,Chhattisgarh,1993,0.0,5.3,7.1,4.7,10.0,167.2,351.0,299.5,298.6,60.1,1.9,0.0,1205.3,5.3,21.7,1116.3,61.9,0,55.73333333333333,157.2
93,Chhattisgarh,1994,3.5,8.4,0.0,5.2,9.1,413.4,575.7,447.7,212.0,76.9,2.7,0.0,1754.5,11.8,14.3,1648.8,79.6,0,137.79999999999998,404.29999999999995
94,Chhattisgarh,1995,43.5,2.6,24.0,5.2,24.9,119.5,478.3,356.0,137.7,69.6,11.2,8.2,1280.7,46.1,54.1,1091.4,89.1,0,39.833333333333336,94.6
95,Chhattisgarh,1996,11.1,5.6,3.6,4.8,2.2,195.2,352.4,429.4,156.8,25.0,0.8,0.2,1187.0,16.7,10.6,1133.8,26.0,0,65.06666666666666,193.0
96,Chhattisgarh,1997,6.3,0.1,2.2,45.7,7.2,153.8,384.6,414.7,167.5,30.2,51.4,53.5,1317.2,6.4,55.1,1120.6,135.1,0,51.26666666666667,146.60000000000002
97,Chhattisgarh,1998,64.9,11.2,27.3,11.9,16.4,156.2,356.0,259.6,288.3,93.1,47.8,0.0,1332.5,76.0,55.6,1060.1,140.9,0,52.06666666666666,139.79999999999998
98,Chhattisgarh,1999,0.0,3.1,0.1,0.0,31.5,222.5,310.0,408.7,253.7,91.2,1.3,0.6,1322.6,3.1,31.6,1194.9,93.0,0,74.16666666666667,191.0
99,Chhattisgarh,2000,2.6,0.0,0.6,1.5,9.3,180.7,322.4,215.6,169.1,4.3,0.2,0.1,906.3,2.6,11.4,887.8,4.6,0,60.23333333333333,171.39999999999998
100,Chhattisgarh,2001,0.8,0.3,14.6,17.6,16.6,339.4,630.6,380.3,108.4,86.9,4.6,0.0,1600.1,1.1,48.7,1458.8,91.6,0,113.13333333333333,322.79999999999995
101,Chhattisgarh,2002,41.5,4.9,12.2,3.3,32.1,196.3,138.4,352.4,122.3,57.8,13.3,15.9,990.2,46.4,47.5,809.3,86.9,0,65.43333333333334,164.20000000000002
102,Chhattisgarh,2003,3.7,17.7,12.1,2.6,0.7,128.7,446.6,519.7,384.1,157.6,5.8,14.9,1694.3,21.4,15.5,1479.1,178.2,0,42.9,127.99999999999999
103,Chhattisgarh,2004,37.8,16.7,3.1,21.2,6.8,213.1,323.1,351.7,126.5,43.9,0.7,0.1,1144.5,54.5,31.1,1014.3,44.6,0,71.03333333333333,206.29999999999998
104,Chhattisgarh,2005,57.6,15.6,6.1,6.5,16.4,197.0,393.8,267.7,240.5,83.5,1.6,1.0,1287.2,73.2,29.0,1099.0,86.1,0,65.66666666666667,180.6
105,Chhattisgarh,2006,2.7,0.0,26.2,17.2,23.5,92.2,495.1,447.2,184.6,13.3,15.1,0.7,1317.7,2.7,66.8,1219.0,29.1,0,30.733333333333334,68.7
106,Chhattisgarh,2007,0.0,15.7,6.2,11.4,10.4,259.4,309.9,338.8,259.1,67.8,2.0,0.5,1281.2,15.7,28.0,1167.2,70.3,0,86.46666666666665,248.99999999999997
107,Chhattisgarh,2008,6.7,9.7,22.2,11.2,9.5,236.4,280.5,305.1,215.4,10.7,1.2,0.0,1108.5,16.4,42.9,1037.4,11.8,0,78.8,226.9
108,Chhattisgarh,2009,1.2,0.0,2.3,1.9,11.2,45.3,455.0,247.1,104.7,43.6,42.5,1.9,956.6,1.2,15.4,852.0,88.0,0,15.1,34.099999999999994
109,Chhattisgarh,2010,7.9,4.9,1.0,5.9,12.6,102.6,426.8,340.3,302.5,54.3,20.2,27.6,1306.6,12.8,19.4,1172.2,102.1,0,34.199999999999996,90.0
110,Chhattisgarh,2011,0.3,11.5,2.6,35.0,16.8,183.5,272.6,379.8,382.2,15.5,0.0,2.8,1302.7,11.8,54.4,1218.2,18.3,0,61.166666666666664,166.7
111,Chhattisgarh,2012,36.6,4.8,1.1,14.9,9.4,147.3,430.6,442.2,245.3,19.8,20.4,5.0,1377.4,41.5,25.4,1265.4,45.1,0,49.1,137.9
112,Chhattisgarh,2013,2.8,19.7,4.9,45.8,5.7,263.6,418.8,336.6,140.9,180.9,0.3,0.0,1420.0,22.5,56.4,1159.9,181.2,0,87.86666666666667,257.90000000000003
113,Chhattisgarh,2014,2.3,29.0,21.4,17.3,25.0,104.9,416.7,327.7,252.7,77.9,2.6,1.1,1278.7,31.3,63.7,1102.1,81.6,0,34.96666666666667,79.9
114,Chhattisgarh,2015,15.8,1.2,21.2,37.0,13.0,257.6,248.6,286.6,216.9,17.7,0.6,1.5,1117.6,17.0,71.2,1009.7,19.7,0,85.86666666666667,244.60000000000002
115,Chhattisgarh,2016,6.1,3.6,24.5,4.4,19.6,164.2,361.0,357.1,295.6,79.8,0.0,0.0,1315.8,9.8,48.5,1177.8,79.8,0,54.73333333333333,144.6
116,Chhattisgarh,2017,0.9,0.7,3.5,0.8,15.6,184.8,378.3,300.4,177.7,61.6,0.2,0.0,1124.4,1.6,19.8,1041.2,61.8,0,61.6,169.20000000000002
