,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,flood,avgjune,sub
53,Sub Himalayan West Bengal & Sikkim,1954,15.7,10.2,10.0,71.1,308.9,841.5,961.5,496.2,250.8,85.6,0.7,3.5,3055.6,25.9,390.0,2549.9,89.7,1,280.5,532.6
54,Sub Himalayan West Bengal & Sikkim,1955,4.6,2.8,34.6,71.5,220.5,541.0,1064.6,626.2,365.0,51.3,6.1,4.6,2992.9,7.4,326.6,2596.9,62.0,1,180.33333333333334,320.5
55,Sub Himalayan West Bengal & Sikkim,1956,14.8,1.4,42.6,164.9,420.9,747.9,471.4,486.8,285.2,215.8,30.1,3.6,2885.5,16.2,628.4,1991.4,249.6,0,249.29999999999998,327.0
56,Sub Himalayan West Bengal & Sikkim,1957,103.0,8.9,25.5,10.6,167.7,430.2,650.6,535.4,208.4,73.7,7.7,3.8,2225.5,112.0,203.7,1824.6,85.1,0,143.4,262.5
57,Sub Himalayan West Bengal & Sikkim,1958,8.1,17.5,14.8,120.6,269.4,487.8,500.3,898.1,353.2,145.6,1.8,3.0,2820.3,25.6,404.8,2239.4,150.4,0,162.6,218.40000000000003
58,Sub Himalayan West Bengal & Sikkim,1959,99.8,5.7,64.3,111.6,218.7,565.9,538.6,291.7,337.9,345.0,0.9,0.1,2580.1,105.5,394.6,1734.2,346.0,0,188.63333333333333,347.2
59,Sub Himalayan West Bengal & Sikkim,1960,0.1,6.5,52.0,4.8,293.2,407.2,764.5,387.2,623.0,71.9,0.0,0.0,2610.5,6.6,350.0,2182.0,71.9,0,135.73333333333332,114.0
60,Sub Himalayan West Bengal & Sikkim,1961,11.5,38.9,19.6,39.3,279.2,448.3,448.9,542.0,341.5,127.5,2.1,5.4,2304.2,50.4,338.1,1780.8,135.0,0,149.43333333333334,169.10000000000002
61,Sub Himalayan West Bengal & Sikkim,1962,33.0,21.7,14.4,57.2,318.7,537.1,516.6,663.2,279.5,77.4,0.4,2.6,2521.7,54.7,390.3,1996.4,80.3,0,179.03333333333333,218.40000000000003
62,Sub Himalayan West Bengal & Sikkim,1963,2.1,0.7,32.2,103.9,323.6,409.4,676.1,611.9,267.7,152.5,21.7,3.0,2604.7,2.7,459.7,1965.1,177.2,0,136.46666666666667,85.79999999999995
63,Sub Himalayan West Bengal & Sikkim,1964,0.0,1.2,9.4,127.0,184.7,613.2,959.1,445.6,486.8,151.0,3.4,0.1,2981.4,1.2,321.0,2504.7,154.5,1,204.4,428.50000000000006
64,Sub Himalayan West Bengal & Sikkim,1965,0.2,22.0,48.2,69.5,232.4,444.6,697.6,830.2,345.7,39.5,32.7,0.2,2762.7,22.1,350.1,2318.2,72.3,0,148.20000000000002,212.20000000000002
