SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
Assam & Meghalaya,1937,2.2,51.1,19.3,97.4,406.6,422.5,409.2,480.5,278.1,139.3,13.5,4.9,2324.6,53.3,523.4,1590.3,157.6
Assam & Meghalaya,1938,27.2,16.2,138,202,247.3,581,510.6,435.2,431.4,141.8,55.2,0.6,2786.5,43.4,587.3,1958.2,197.6
Assam & Meghalaya,1939,1.5,33.6,11.2,178.3,349.6,533.7,484.9,224.9,389,190.1,2.8,1.9,2401.6,35.1,539.2,1632.5,194.9
Assam & Meghalaya,1940,1.5,57.9,180.8,72.6,391.9,500.5,435.4,330.8,353.7,98.1,19,9.5,2451.6,59.4,645.3,1620.3,126.6
Assam & Meghalaya,1941,4.5,32.7,53.8,245.1,522.4,541.7,409.4,361.8,368.1,143.3,16.7,9.9,2709.5,37.2,821.2,1681,170
Assam & Meghalaya,1942,7.4,25.3,130.9,233.5,469.1,618.8,332.9,328.8,462.9,40,27.5,0,2677,32.7,833.5,1743.4,67.5
Assam & Meghalaya,1943,54.4,34.1,170.6,247.7,406.6,513.3,391.9,417.9,365,86.7,9.4,6.2,2703.7,88.4,824.9,1688.1,102.3
Assam & Meghalaya,1944,39.2,21.3,62.9,139,518,490.6,386.9,304.1,455.6,89.7,7.2,9.9,2524.3,60.4,719.9,1637.2,106.8
Assam & Meghalaya,1945,37,39.7,67.5,139.5,396.5,500.5,507.7,493.5,283.2,196.6,1.1,2.9,2665.7,76.7,603.5,1785,200.5
Assam & Meghalaya,1946,0.4,19.4,102.6,178.5,328,582.6,547,297.9,266.8,346.3,8.6,1.4,2679.5,19.8,609.2,1694.2,356.4
Assam & Meghalaya,1947,3.9,9,83.9,243.4,380.2,486.4,570.8,285,362.3,202.2,3,13.1,2643.3,12.9,707.6,1704.6,218.3
Assam & Meghalaya,1948,10.1,42.4,59.5,260.4,681.2,599.4,534.8,448.3,314.4,176.6,50.6,7.8,3185.4,52.5,1001.1,1896.8,234.9
Assam & Meghalaya,1949,22.9,23.1,76,371,335.9,683.4,444.1,461.9,392.6,148.3,13,11.1,2983.4,45.9,782.9,1982.1,172.4
Assam & Meghalaya,1950,21.2,51.2,93.5,112.9,282.1,562,389.5,490.9,200.7,134.6,49.9,3.9,2392.4,72.5,488.5,1643.1,188.4
Assam & Meghalaya,1951,4.9,3.3,53.5,242.9,250.4,588.8,550.5,387.4,209.7,270.5,46.2,5.8,2613.8,8.2,546.9,1736.3,322.5
Assam & Meghalaya,1952,4.4,10.4,107.5,155.9,465.6,399.9,573.9,467.6,343.7,277.1,43.2,2.1,2851.3,14.8,729,1785.2,322.4
Assam & Meghalaya,1953,18,13.3,227.3,157.4,377.7,405.5,461.9,284.5,451.5,144,5.8,13.1,2559.9,31.3,762.4,1603.4,162.9
Assam & Meghalaya,1954,22,45.7,40.6,266,490.3,594.3,572.2,427.3,218.8,155.5,2,24.5,2859.1,67.6,796.9,1812.6,182
Assam & Meghalaya,1955,9.2,9.5,143.5,210.2,328.8,546.5,567,415.8,283.3,149.3,89.6,8.5,2761.2,18.7,682.5,1812.6,247.4
Assam & Meghalaya,1956,29.8,3.2,121.7,204.8,533.5,712.4,440.3,382.1,171.9,149.3,44.3,9.6,2802.9,33,859.9,1706.7,203.3
Assam & Meghalaya,1957,66.9,33.5,20.1,136,449.2,446,407.2,366.6,208.7,99.9,12.2,10.7,2257.2,100.4,605.4,1428.6,122.8
Assam & Meghalaya,1958,18.8,44.2,10.3,192.4,545.2,393.2,361.1,546.9,278.7,212.4,4.6,18.7,2626.4,63,747.9,1579.8,235.7
Assam & Meghalaya,1959,30.8,45.6,109.9,144.1,470.6,517.6,364.2,255.9,286.8,301.7,8.3,0.2,2535.8,76.4,724.6,1424.6,310.1
Assam & Meghalaya,1960,0.1,11.1,38.7,45.9,315.2,454.8,553.7,349.2,479.4,60.9,29.3,3.9,2342.2,11.2,399.9,1837,94
Assam & Meghalaya,1961,11.5,19.7,253.8,123,355.8,335.4,352.9,347.4,226.1,128.1,34.8,6.9,2195.3,31.2,732.6,1261.7,169.8
Assam & Meghalaya,1962,24.9,27.6,17.3,134.7,369,601.4,338.8,509.8,137.4,118.2,11.1,5.8,2295.9,52.5,521.1,1587.3,135
Assam & Meghalaya,1963,3.3,7.9,51.1,183.3,288.4,596,557.3,432,211.7,144.1,29.4,7.2,2511.8,11.2,522.8,1797.1,180.7
Assam & Meghalaya,1964,9.6,22.6,80.7,268.3,297.4,557.9,600.3,340.4,326.3,205.1,8.3,12.8,2729.6,32.2,646.4,1824.8,226.2
Assam & Meghalaya,1965,5.1,73.6,52.5,158.2,327.1,501,399.6,422.1,304,82.4,60.8,12.5,2398.9,78.7,537.7,1626.7,155.7
Assam & Meghalaya,1966,20,23.6,36.1,164.3,323.7,780.5,507.1,518.2,248.1,124.5,31.8,11.4,2789.3,43.6,524.1,2053.9,167.7
Assam & Meghalaya,1967,11.4,37.3,105.9,112,287.5,395.7,497.7,258.9,300.6,97.6,14.5,4.2,2123.4,48.8,505.4,1452.9,116.3
Assam & Meghalaya,1968,22.9,19.8,78.2,170.8,432.3,595,494.1,346,231.7,113.8,23.9,2.3,2530.8,42.7,681.3,1666.8,140
Assam & Meghalaya,1969,27.4,1.8,99.7,178.7,254.1,567.2,461.1,446.7,185.4,80.9,27.5,1.8,2332.2,29.2,532.4,1660.3,110.2
Assam & Meghalaya,1970,47,35.8,89.7,204.8,493.4,658.3,475.3,389.2,390.7,246.4,17.8,0.1,3048.4,82.8,787.9,1913.5,264.3
Assam & Meghalaya,1971,36.9,18.4,37.6,142.9,236.3,437.1,407.9,474.8,231.6,199.5,80,12.1,2315.1,55.3,416.8,1551.3,291.6
Assam & Meghalaya,1972,18,39.6,99.3,260.3,339.3,576.2,441,271,227.1,99.1,2.9,5.3,2379.1,57.6,698.9,1515.3,107.3
Assam & Meghalaya,1973,9.8,82.8,28.9,252.1,324.5,634.4,364.6,395,348.6,128.7,67.4,35.3,2672.1,92.6,605.5,1742.6,231.4
Assam & Meghalaya,1974,31.6,11.4,78.7,255.8,369.4,627,789.3,510.9,429.1,271,27.1,2.3,3403.5,43,703.8,2356.3,300.4
Assam & Meghalaya,1975,10,22.3,18.8,227.9,321.2,337.6,522.4,314.8,299.1,172.7,18,5.8,2270.6,32.3,567.9,1473.9,196.5
Assam & Meghalaya,1976,5.7,36.3,92.6,139.4,179.5,509.7,390.5,358.5,149.1,67.3,24.3,3.1,1956,42.1,411.5,1407.8,94.6
Assam & Meghalaya,1977,9.1,16.2,74.4,375.1,391.6,405,461.3,461.9,176.9,175.7,47.7,21.8,2616.6,25.2,841.1,1505.2,245.2
Assam & Meghalaya,1978,5,8.2,44.3,100.9,253.7,506.6,444,255.8,271.8,65,55.9,0.6,2011.9,13.2,399,1478.2,121.6
Assam & Meghalaya,1979,3.3,8.7,38.2,93.8,225.6,307.8,640.1,252.4,342.3,216.6,23.4,36.2,2188.5,12,357.7,1542.6,276.3
Assam & Meghalaya,1980,13.1,36.3,96.9,173.2,289.4,389.5,460,417.8,269.8,141.6,1,0.6,2289.2,49.3,559.6,1537.1,143.2
Assam & Meghalaya,1981,29.6,30.7,91,152.1,251.5,273.1,543.5,340.7,274.5,47.5,9,36.1,2079.3,60.3,494.6,1431.8,92.7
Assam & Meghalaya,1982,1.8,31.1,50.6,254.3,215.5,517.2,539.9,377.2,286.4,62,29.9,16.4,2382.2,32.9,520.4,1720.6,108.3
Assam & Meghalaya,1983,16.4,37.8,90,165.9,278.2,362,582.9,450.2,449.1,156.7,7,24,2620,54.2,534.1,1844.2,187.6
Assam & Meghalaya,1984,22.4,7.2,28.6,202.8,416,478.5,995.2,360.7,458,159.6,5.7,22.2,3157,29.7,647.4,2292.5,187.5
Assam & Meghalaya,1985,8.7,32.3,152.6,268.1,335,496,714.6,349.4,335.1,74.4,15.8,19.7,2801.6,41,755.7,1895.1,109.9
Assam & Meghalaya,1986,16.4,11.7,28,282.8,159.7,404.2,465,416.4,441.1,300.5,59.5,7.4,2592.8,28.1,470.6,1726.6,367.5
Assam & Meghalaya,1987,8.8,27.8,110.4,197.6,199,525.8,766.5,433,445.4,157.8,37.6,11.9,2921.4,36.5,506.9,2170.6,207.3
Assam & Meghalaya,1988,7.3,46.1,82.3,157.9,568.6,403.8,644.2,773.4,329.6,168.3,74.3,5.9,3261.7,53.4,808.9,2151,248.5
Assam & Meghalaya,1989,10.5,51.6,30.4,183.4,260.1,488.8,747,267.9,425.8,194.1,16.2,6.5,2682.1,62,473.8,1929.5,216.8
Assam & Meghalaya,1990,19.2,46.9,96.7,333.7,304.1,513.8,446.4,348.8,441.1,208.3,7,5.2,2771.2,66.1,734.4,1750.2,220.5
Assam & Meghalaya,1991,13.7,30.2,62.1,175.7,495.8,517.8,440.5,388.2,437.3,226.2,9.4,41.1,2838,43.9,733.6,1783.8,276.7
Assam & Meghalaya,1992,14.7,46.3,62,114.5,292.3,450.9,491.4,339.3,296.9,125,14.3,12.1,2259.8,61.1,468.8,1578.5,151.4
Assam & Meghalaya,1993,73.3,96.9,86.1,138.5,374,619.5,576.9,477.5,296,130.3,8.2,2,2879.2,170.2,598.6,1969.9,140.5
Assam & Meghalaya,1994,26.6,42.5,157.2,161.3,282,477.6,308.6,308.7,178.5,147,15.9,15.4,2121.3,69.1,600.5,1273.4,178.3
Assam & Meghalaya,1995,8.7,39.7,42,145.7,299.1,663.3,558.4,543.3,404,80.7,94,7.1,2886.1,48.5,486.8,2169,181.8
Assam & Meghalaya,1996,12.8,23.2,101.6,99.2,415.6,397.7,499.6,421.8,224.4,267.2,3.5,0.2,2466.9,36,616.4,1543.5,271
Assam & Meghalaya,1997,18.2,40.7,91.8,131.9,241.8,569.9,511.2,315.5,366.8,36.4,12.6,35.4,2372.2,58.9,465.6,1763.4,84.3
Assam & Meghalaya,1998,11.8,31.5,136.8,185.7,250.6,581.2,604.4,549.5,212.3,190,48.9,0.4,2803.1,43.4,573.1,1947.4,239.2
Assam & Meghalaya,1999,2.4,0.5,38.7,150.6,466.8,429,596.7,487.5,196.9,208.6,14.1,2.3,2594.2,2.9,656.1,1710.2,225
Assam & Meghalaya,2000,20.5,13.7,65.9,238.5,375.1,540.2,313.3,513.2,299.9,83.9,22.2,0.4,2487,34.2,679.5,1666.6,106.6
Assam & Meghalaya,2001,5.5,39.7,30.9,198.6,266.4,399.8,451.1,295.6,266.8,201.4,20.5,2.3,2178.4,45.2,495.8,1413.2,224.2
Assam & Meghalaya,2002,20.2,5.7,83.3,279.9,286.9,502.5,565.1,312.5,209.7,49.5,69.4,7.9,2392.7,25.9,650.2,1589.8,126.8
Assam & Meghalaya,2003,9.5,41.5,96.9,213.8,235.8,551.4,481.2,290.7,250,231.8,13,18.6,2434.1,51,546.5,1573.3,263.4
Assam & Meghalaya,2004,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.3,34.8,755.9,1849.7,353.9
Assam & Meghalaya,2005,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.3,53.3,660.9,1525.2,228.9
Assam & Meghalaya,2006,0.7,40.9,20.8,169,325.7,395.9,350.3,209.7,252.3,97.6,25.1,10.7,1898.6,41.5,515.5,1208.1,133.5
Assam & Meghalaya,2007,1.5,73.7,23.5,242.7,219.8,489.7,682.7,308,494.7,164.7,47.7,4,2752.8,75.2,486.1,1975.1,216.4
Assam & Meghalaya,2008,29.7,14.5,107.5,156.2,210.6,414.6,493.2,508.6,267.5,133.4,2.2,1.6,2339.7,44.2,474.4,1683.9,137.2
Assam & Meghalaya,2009,7.9,11.6,44.9,134.9,246.5,321.1,426.3,533.8,192.3,135.9,9,4,2068.2,19.5,426.2,1473.5,149
Assam & Meghalaya,2010,0.5,3.1,99.6,389.3,393.4,569.7,415.1,387,318.3,116.2,11.6,7.6,2711.5,3.7,882.3,1690.2,135.3
Assam & Meghalaya,2011,11.1,11.4,109,92.1,238.3,316,395.8,302.6,221.6,30.2,11.9,3.5,1743.4,22.5,439.4,1236,45.6
Assam & Meghalaya,2012,15.2,6.9,28.8,279.1,185.8,729.7,444.3,289.2,411.6,199.4,17.1,2.3,2609.4,22.1,493.7,1874.8,218.8
Assam & Meghalaya,2013,1.1,9.6,44,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1,2,1816.4,10.7,503.5,1172.9,129.3
Assam & Meghalaya,2014,2,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35,3,0.4,2206.1,30.3,431.9,1705.5,38.5
Assam & Meghalaya,2015,13.4,15.5,37.5,250.9,332.5,558.5,300.1,590.9,279.9,62.6,14,15.2,2470.9,28.9,620.9,1729.3,91.8
Assam & Meghalaya,2016,18.9,15.9,64.1,327.8,334,369,498.4,185.3,271.2,136.5,38.2,7.4,2266.9,34.8,726,1323.9,182.1
Assam & Meghalaya,2017,1.7,37.8,116.7,310.9,268.4,485.2,429,483.1,345.4,212.1,10.3,11,2711.7,39.5,695.9,1742.7,233.5
